"filename", "language", "Markdown", "CSS", "JavaScript", "JSON", "JavaScript React", "XML", "HTML", "comment", "blank", "total"
"c:\Users\domfo\Desktop\JS\LabRats\client\src\features\lab\taskService.js", "JavaScript", 0, 0, 26, 0, 0, 0, 0, 0, 11, 37
"c:\Users\domfo\Desktop\JS\LabRats\client\src\features\project\projectSlice.js", "JavaScript", 0, 0, 3, 0, 0, 0, 0, 1, 2, 6
"c:\Users\domfo\Desktop\JS\LabRats\client\src\index.css", "CSS", 0, 14, 0, 0, 0, 0, 0, 0, 3, 17
"c:\Users\domfo\Desktop\JS\LabRats\client\src\index.js", "JavaScript", 0, 0, 19, 0, 0, 0, 0, 3, 4, 26
"c:\Users\domfo\Desktop\JS\LabRats\client\src\logo.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\domfo\Desktop\JS\LabRats\client\src\pages\Dashboard.jsx", "JavaScript React", 0, 0, 0, 0, 11, 0, 0, 0, 2, 13
"c:\Users\domfo\Desktop\JS\LabRats\client\src\pages\Landing.jsx", "JavaScript React", 0, 0, 0, 0, 68, 0, 0, 0, 7, 75
"c:\Users\domfo\Desktop\JS\LabRats\client\src\pages\Landing.test.js", "JavaScript", 0, 0, 8, 0, 0, 0, 0, 0, 5, 13
"c:\Users\domfo\Desktop\JS\LabRats\client\src\pages\Login.jsx", "JavaScript React", 0, 0, 0, 0, 9, 0, 0, 0, 2, 11
"c:\Users\domfo\Desktop\JS\LabRats\client\src\pages\Register.jsx", "JavaScript React", 0, 0, 0, 0, 9, 0, 0, 0, 2, 11
"c:\Users\domfo\Desktop\JS\LabRats\client\src\pages\UserSettings.jsx", "JavaScript React", 0, 0, 0, 0, 39, 0, 0, 1, 7, 47
"c:\Users\domfo\Desktop\JS\LabRats\client\src\pages\data.js", "JavaScript", 0, 0, 19, 0, 0, 0, 0, 0, 1, 20
"c:\Users\domfo\Desktop\JS\LabRats\client\src\reportWebVitals.js", "JavaScript", 0, 0, 12, 0, 0, 0, 0, 0, 2, 14
"c:\Users\domfo\Desktop\JS\LabRats\client\src\setupTests.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 4, 1, 6
"c:\Users\domfo\Desktop\JS\LabRats\client\src\styles\Dashboard.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\domfo\Desktop\JS\LabRats\client\src\styles\Lab.css", "CSS", 0, 5, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\domfo\Desktop\JS\LabRats\client\src\styles\Landing.css", "CSS", 0, 74, 0, 0, 0, 0, 0, 2, 4, 80
"c:\Users\domfo\Desktop\JS\LabRats\client\src\styles\Login.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\domfo\Desktop\JS\LabRats\client\src\styles\Projects.css", "CSS", 0, 99, 0, 0, 0, 0, 0, 0, 11, 110
"c:\Users\domfo\Desktop\JS\LabRats\client\src\styles\Register.css", "CSS", 0, 37, 0, 0, 0, 0, 0, 0, 3, 40
"c:\Users\domfo\Desktop\JS\LabRats\client\src\styles\Task.css", "CSS", 0, 113, 0, 0, 0, 0, 0, 0, 9, 122
"c:\Users\domfo\Desktop\JS\LabRats\client\src\styles\UserSettings.css", "CSS", 0, 39, 0, 0, 0, 0, 0, 5, 8, 52
"c:\Users\domfo\Desktop\JS\LabRats\client\src\util\colors.js", "JavaScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 5
"c:\Users\domfo\Desktop\JS\LabRats\client\src\util\test-utils.jsx", "JavaScript React", 0, 0, 0, 0, 17, 0, 0, 0, 3, 20
"c:\Users\domfo\Desktop\JS\LabRats\package-lock.json", "JSON", 0, 0, 0, 4965, 0, 0, 0, 0, 1, 4966
"c:\Users\domfo\Desktop\JS\LabRats\package.json", "JSON", 0, 0, 0, 32, 0, 0, 0, 0, 1, 33
"Total", "-", 74, 655, 2265, 36492, 1050, 1, 20, 192, 678, 41427
